code_postal,code_insee,nom_commune
01680,01219,Lompnas
01420,01215,Surjoux-Lhopital
01360,01224,Loyettes
01450,01214,Leyssard
01560,01212,Lescheroux
01240,01211,Lent
01150,01213,Leyment
01410,01210,Lélex
01200,01209,Léaz
01350,01208,Lavours
01130,01204,Le Poizat-Lalleyriat
01330,01207,Lapeyrouse
01430,01206,Lantenay
01290,01203,Laiz
01450,01200,Labalme
01800,01198,Joyeux
01150,01202,Lagnieu
01640,01199,Jujurieux
01250,01197,Journans
01340,01196,Jayat
01250,01195,Jasseron
01300,01193,Izieu
01580,01192,Izernore
01480,01194,Jassans-Riottier
01680,01190,Innimond
01430,01191,Izenave
01140,01188,Illiat
01200,01189,Injoux-Génissiat
01260,01187,Haut Valromey
01110,01185,Plateau d'Hauteville
01250,01184,Hautecourt-Romanèche
01100,01181,Groissiat
01090,01183,Guéreins
01220,01180,Grilly
01250,01177,Grand-Corent
01130,01174,Giron
01290,01179,Grièges
01190,01175,Gorrevod
01170,01173,Gex
01100,01171,Géovreisset
01460,01170,Béard-Géovreissiat
01140,01167,Garnerans
01480,01166,Frans
01090,01169,Genouilleux
01090,01165,Francheleins
01350,01162,Flaxieu
01340,01163,Foissiat
01570,01159,Feillens
01210,01160,Ferney-Voltaire
01550,01158,Farges
01480,01157,Fareins
01230,01155,Évosges
01170,01153,Échenevex
01800,01156,Faramans
01250,01150,Drom
01130,01152,Échallon
01160,01151,Druillat
01500,01149,Douvres
01590,01148,Dortan
01240,01145,Dompierre-sur-Veyle
01270,01147,Domsure
01400,01146,Dompierre-sur-Chalaronne
01220,01143,Divonne-les-Bains
01300,01141,Cuzieu
01120,01142,Dagneux
01310,01140,Curtafond
01560,01139,Curciat-Dongalon
01350,01138,Culoz-Béon
01290,01136,Cruzilles-lès-Mépillat
01170,01135,Crozet
01290,01134,Crottet
01750,01134,Crottet
01350,01133,Cressin-Rochefort
01340,01130,Bresse Vallons
01560,01128,Courtes
01250,01125,Corveissiat
01320,01129,Crans
01370,01127,Courmangoux
01560,01124,Cormoz
01110,01121,Corlier
01300,01117,Conzieu
01420,01118,Corbonod
01290,01123,Cormoranche-sur-Saône
01300,01116,Contrevoz
01310,01115,Confrançon
01200,01114,Confort
01430,01112,Condamine
01400,01113,Condeissiat
01230,01111,Conand
01300,01110,Colomieu
01230,01107,Cleyzieu
01270,01108,Coligny
01550,01109,Collonges
01250,01106,Cize
01390,01105,Civrieux
01410,01104,Chézery-Forens
01200,01104,Chézery-Forens
01190,01102,Chevroux
01430,01101,Chevillard
01170,01103,Chevry
01510,01100,Cheignieu-la-Balme
01150,01099,Chazey-sur-Ain
01300,01098,Chazey-Bons
01510,01098,Chazey-Bons
01660,01096,Chaveyriat
01250,01095,Nivigne et Suran
01190,01094,Chavannes-sur-Reyssouze
01320,01090,Châtenay
01320,01092,Châtillon-la-Palud
01400,01093,Châtillon-sur-Chalaronne
01800,01088,Charnoz-sur-Ain
01130,01087,Charix
01240,01085,La Chapelle-du-Châtelard
01500,01089,Château-Gaillard
01400,01084,Chanoz-Châtenay
01990,01083,Chaneins
01420,01082,Chanay
01110,01080,Champdor-Corcelles
01410,01081,Champfromier
01260,01079,Champagne-en-Valromey
01630,01078,Challex
01450,01077,Challes-la-Montagne
01230,01076,Chaley
01350,01073,Ceyzérieu
01480,01075,Chaleins
01320,01074,Chalamont
01250,01072,Ceyzériat
01240,01069,Certines
01170,01071,Cessy
01430,01067,Ceignes
01450,01068,Cerdon
01310,01065,Buellas
01470,01064,Briord
01460,01063,Brion
01510,01066,La Burbanche
01360,01062,Bressolles
01300,01058,Brégnier-Cordon
01110,01060,Brénod
01300,01061,Brens
01190,01057,Boz
01640,01056,Boyeux-Saint-Jérôme
01800,01054,Bourg-Saint-Christophe
01330,01052,Bouligneux
01000,01053,Bourg-en-Bresse
01450,01051,Bolozon
01190,01050,Boissey
01150,01047,Blyes
01290,01046,Biziat
01120,01049,La Boisse
01330,01045,Birieux
01290,01042,Bey
01200,01044,Billiat
01500,01041,Bettant
01700,01043,Beynost
01340,01040,Béréziat
01370,01038,Bény
01470,01037,Bénonces
01130,01035,Belleydoux
01260,01036,Valromey-sur-Séran
01300,01034,Belley
01200,01033,Valserhône
01100,01031,Bellignat
01480,01030,Beauregard
01360,01032,Béligneux
01270,01029,Beaupont
01990,01028,Baneins
01380,01026,Bâgé-le-Châtel
01360,01027,Balan
01570,01023,Asnières-sur-Saône
01380,01025,Bâgé-Dommartin
01510,01022,Artemare
01340,01024,Attignat
01480,01021,Ars-sur-Formans
01510,01019,Armix
01230,01017,Argis
01190,01016,Arbigny
01300,01015,Arboys en Bugey
01100,01014,Arbent
01230,01013,Arandas
01350,01010,Anglefort
01100,01011,Apremont
01300,01009,Andert-et-Condon
01110,01012,Aranc
01300,01006,Ambléon
01500,01008,Ambutrix
01500,01007,Ambronay
02300,02001,Abbécourt
02800,02002,Achery
02200,02003,Acy
02340,02004,Agnicourt-et-Séchelles
02320,02834,Wissignicourt
02500,02833,Wimy
02120,02832,Wiège-Faty
02830,02831,Watigny
02630,02830,Wassigny
02880,02829,Vuillery
02880,02828,Vregny
02140,02826,Voulpaix
02140,02823,Voharies
02860,02824,Vorges
02250,02827,Voyenne
02870,02821,Vivaise
02600,02822,Vivières
02340,02819,Vincy-Reuil-et-Magny
02300,02820,Viry-Noureuil
02220,02817,Ville-Savoye
02310,02818,Villiers-Saint-Denis
02130,02816,Villers-sur-Fère
02120,02814,Villers-lès-Guise
02590,02815,Villers-Saint-Christophe
02130,02809,Villers-Agron-Aiguizy
02240,02813,Villers-le-Sec
02600,02812,Villers-Hélon
02600,02810,Villers-Cotterêts
02420,02808,Villeret
02300,02807,Villequier-Aumont
02130,02806,Villeneuve-sur-Fère
02210,02804,Villemontoire
02160,02803,La Ville-aux-Bois-lès-Pontavert
02340,02802,La Ville-aux-Bois-lès-Dizy
02200,02805,Villeneuve-Saint-Germain
02340,02801,Vigneux-Hocquet
02540,02800,Viffort
02210,02799,Vierzy
02210,02796,Vichel-Nanteuil
02160,02797,Viel-Arcy
02540,02798,Viels-Maisons
02290,02795,Vic-sur-Aisne
02130,02794,Vézilly
02290,02793,Vézaponin
02810,02792,Veuilly-la-Poterie
02840,02791,Veslud
02350,02790,Vesles-et-Caumont
02140,02789,Vervins
02800,02788,Versigny
02380,02786,Verneuil-sous-Coucy
02000,02787,Verneuil-sur-Serre
02630,02784,Petit-Verly
02120,02783,Grand-Verly
02490,02785,Vermand
02490,02782,Le Verguier
02400,02781,Verdilly
02200,02780,Venizel
02160,02778,Vendresse-Beaulne
02510,02779,Vénérolles
02540,02777,Vendières
02420,02776,Vendhuile
02800,02775,Vendeuil
02220,02773,Vauxtin
02490,02774,Vendelles
02590,02772,Vaux-en-Vermandois
02200,02770,Vauxbuin
02110,02769,Vaux-Andigny
02320,02768,Vauxaillon
02200,02767,Vauxrezis
02320,02766,Vaudesson
02160,02764,Vassogne
02000,02765,Vaucelles-et-Beffecourt
02290,02762,Vassens
02220,02763,Vasseny
02190,02761,Variscourt
02110,02760,La Vallée-Mulâtre
02140,02759,La Vallée-au-Blé
02120,02757,Vadencourt
02370,02758,Vailly-sur-Aisne
02690,02756,Urvillers
02300,02754,Ugny-le-Gay
02000,02755,Urcel
02860,02751,Trucy
02120,02753,Tupigny
02640,02752,Tugny-et-Pont
02300,02750,Trosly-Loire
02460,02749,Troësnes
02490,02747,Trefcon
02250,02745,Toulis-et-Attencourt
02850,02748,Trélou-sur-Marne
02800,02746,Travecy
02810,02744,Torcy-en-Valois
02340,02743,Le Thuel
02250,02742,Thiernu
02390,02741,Thenelles
02880,02739,Terny-Sorny
02140,02740,Thenailles
02700,02738,Tergnier
02290,02736,Tartiers
02250,02737,Tavaux-et-Pontséricourt
02220,02735,Tannières
02240,02732,Surfontaine
02140,02731,Le Sourd
02600,02734,Taillefontaine
02160,02730,Soupir
02600,02729,Soucy
02580,02728,Sorbais
02470,02724,Sommelans
02480,02726,Sommette-Eaucourt
02260,02725,Sommeron
02270,02727,Sons-et-Ronchères
02340,02723,Soize
02240,02721,Sissy
02200,02722,Soissons
02150,02720,Sissonne
02300,02719,Sinceny
02460,02718,Silly-la-Poterie
02160,02715,Serval
02240,02717,Séry-lès-Mézières
02700,02716,Servais
02220,02714,Sermoise
02130,02713,Seringes-et-Nesles
02130,02712,Sergy
02790,02710,Seraucourt-le-Grand
02220,02711,Serches
02110,02709,Serain
02420,02708,Sequehart
02410,02707,Septvaux
02200,02706,Septmonts
02150,02705,La Selve
02300,02704,Selens
02110,02703,Seboncourt
02880,02698,Sancy-les-Cheminots
02590,02702,Savy
02310,02701,Saulchery
02130,02699,Saponay
02840,02697,Samoussy
02820,02696,Saint-Thomas
02640,02694,Saint-Simon
02210,02693,Saint-Rémy-Blanzy
02350,02690,Sainte-Preuve
02100,02691,Saint-Quentin
02250,02689,Saint-Pierremont
02140,02688,Saint-Pierre-lès-Franqueville
02600,02687,Saint-Pierre-Aigle
02410,02685,Saint-Nicolas-aux-Bois
02110,02683,Saint-Martin-Rivière
02300,02686,Saint-Paul-aux-Bois
02830,02684,Saint-Michel
02220,02682,Saint-Mard
02140,02681,Saint-Gobert
02410,02680,Saint-Gobain
02810,02679,Saint-Gengoulph
02340,02678,Sainte-Geneviève
02330,02677,Saint-Eugène
02820,02676,Saint-Erme-Outre-et-Ramecourt
02820,02675,Sainte-Croix
02360,02674,Saint-Clément
02290,02673,Saint-Christophe-à-Berry
02260,02670,Saint-Algis
02290,02672,Saint-Bandry
02300,02671,Saint-Aubin
02120,02668,Sains-Richaumont
02200,02667,Saconin-et-Breuil
02360,02666,Rozoy-sur-Serre
02210,02665,Grand-Rozoy
02200,02663,Rozières-sur-Crise
02540,02664,Rozoy-Bellevalle
02210,02662,Rozet-Saint-Albin
02360,02660,Rouvroy-sur-Serre
02000,02661,Royaucourt-et-Chailvet
02100,02659,Rouvroy
02140,02657,Rougeries
02590,02658,Roupy
02130,02655,Ronchères
02160,02656,Roucy
02120,02654,Romery
02140,02652,Rogny
02800,02651,Rogécourt
02310,02653,Romeny-sur-Marne
02260,02650,Rocquigny
02210,02649,Rocourt-Saint-Martin
02240,02648,Ribemont
02110,02647,Ribeauville
02850,02645,Reuilly-Sauvigny
02600,02644,Retheuil
02290,02643,Ressons-le-Long
02360,02642,Résigny
02240,02640,Renansart
02340,02641,Renneval
02270,02638,Remies
02440,02639,Remigny
02100,02637,Remaucourt
02240,02636,Regny
02110,02635,Ramicourt
02360,02634,Raillimont
02220,02633,Quincy-sous-le-Mont
02380,02632,Quincy-Basse
02300,02631,Quierzy
02120,02629,Puisieux-et-Clanlieu
02600,02628,Puiseux-en-Retz
02190,02627,Proviseux-et-Plesnoy
02120,02625,Proix
02140,02623,Prisces
02120,02624,Proisy
02190,02626,Prouvais
02470,02622,Priez
02860,02621,Presles-et-Thierny
02370,02620,Presles-et-Boves
02110,02618,Prémont
02270,02617,Pouilly-sur-Serre
02320,02619,Prémontré
